"University","Canton","Latitude","Longitude"
"AO Research Institute - AORI","GR","46.777127","9.813682"
"Allergie- und Asthmaforschung - SIAF","GR","46.888896","9.789329"
"Berner Fachhochschule - BFH","BE","46.9556096","7.4597959272994"
"Biotechnologie Institut Thurgau - BITG","TG","47.057422","7.621387"
"Centre de rech. sur l'environnement alpin - CREALP","VS","46.228561","7.367433"
"EPF Lausanne - EPFL","VD","46.5189865","6.5676007"
"ETH Zürich - ETHZ","ZH","47.3764534","8.5477093148975"
"Eidg. Anstalt für Wasserversorgung - EAWAG","ZH","47.403788","8.609537"
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL","ZH","47.360558","8.454624"
"Eidg. Hochschulinstitut für Berufsbildung - EHB","VD","47.001513","7.450693"
"Eidg. Material und Prüfungsanstalt - EMPA","ZH","47.400026","8.614952"
"Ente Ospedaliero Cantonale - EOC","TI","46.196914","9.026647"
"Fachhochschule Kalaidos - FHKD","ZH","47.415439","8.543804"
"Fachhochschule Nordwestschweiz (ohne PH) - FHNW","AG","47.348030","7.907826"
"Fachhochschule Ostschweiz - FHO","SG","47.420806","9.363596"
"Facoltà di Teologia di Lugano - FTL","TI","46.010678","8.957907"
"Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS","VS","46.317938","7.983188"
"Firmen/Privatwirtschaft - FP","","",""
"Forschungsanstalten Agroscope - AGS","ZH","47.428903","8.516337"
"Forschungsinstitut für Opthalmologie - IRO","VS","46.232941","7.383124"
"Forschungsinstitut für biologischen Landbau - FIBL","AG","47.5169962","8.0254878"
"Forschungskommission SAGW","BE","46.947080","7.436625"
"Franklin University Switzerland - FUS","TI","45.997562","8.938811"
"Friedrich Miescher Institute - FMI","BS","47.567720","7.603581"
"HES de Suisse occidentale - HES-SO","JU","47.3320717","7.6388385"
"Haute école pédagogique BE, JU, NE - HEPBEJUNE","JU","47.362514","7.352121"
"Haute école pédagogique du canton de Vaud - HEPL","VD","46.512813","6.621615"
"Haute école pédagogique fribourgeoise - HEPFR","FR","46.811148","7.159198"
"Hochschule Luzern - HSLU","LU","47.0537515","8.2956392"
"Idiap Research Institute - IDIAP","VS","46.109237","7.0845354852241"
"Inst. Suisse de Spéléologie et Karstologie - ISSKA","NE","47.099717","6.823171"
"Inst. de Hautes Etudes Internat. et du Dév - IHEID","GE","46.220894","6.143649"
"Inst. universit. romand de Santé au Travail - IST","VD","46.543257","6.661733"
"Institut Universitaire Kurt Bösch - IUKB","VS","46.230066","7.398756"
"Institut für Kulturforschung Graubünden - IKG","GR","46.851085","9.533924"
"Instituto Ricerche Solari Locarno - IRSOL","TI","46.176852","8.789114"
"Interkant. Hochschule für Heilpädagogik ZH - HfH","ZH","47.403193","8.547140"
"Istituto Svizzero di Roma - ISR","TI","41.906351","12.487633"
"Kantonsspital St. Gallen - KSPSG","SG","47.4244818","9.3767173"
"NPO (Biblioth., Museen, Verwalt.) - NPO","","",""
"Nicht zuteilbar - NA","TG","",""
"Paul Scherrer Institut - PSI","AG","47.538550","8.229929"
"Physikal.-Meteorolog. Observatorium Davos - PMOD","GR","46.813287","9.844422"
"Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP","GR","46.331734","8.8004529"
"Pädagogische Hochschule Bern - PHBern","BE","46.9442149","7.4486324831929"
"Pädagogische Hochschule Graubünden - PHGR","GR","",""
"Pädagogische Hochschule Luzern - PHLU","LU","47.0501682","8.3093072"
"Pädagogische Hochschule Nordwestschweiz - PHFHNW","AG","",""
"Pädagogische Hochschule Schaffhausen - PHSH","SH","47.6958897","8.6380488"
"Pädagogische Hochschule Schwyz - PHSZ","SZ","47.0207138","8.6529884"
"Pädagogische Hochschule St. Gallen - PHSG","SG","47.4244818","9.3767173"
"Pädagogische Hochschule Thurgau - PHTG","TG","47.64758585","9.1807237042575"
"Pädagogische Hochschule Wallis - PHVS","VS","",""
"Pädagogische Hochschule Zug - PHZG","ZG","",""
"Pädagogische Hochschule Zürich - PHZFH","ZH","47.3768866","8.541694"
"Robert Walser-Stiftung Bern - RWS","BE","",""
"SUP della Svizzera italiana - SUPSI","TI","",""
"Schweiz. Hochschule für Logopädie Rorschach - SHLR","SG","46.818188","8.227512"
"Schweiz. Institut für Kunstwissenschaft - SIK-ISEA","ZH","",""
"Schweizer Kompetenzzentrum Sozialwissensch. - FORS","VD","",""
"Schweizer Paraplegiker Forschung - SPF","LU","",""
"Staatsunabh. Theologische Hochschule Basel - STHB","BS","47.5595986","7.5885761"
"Swiss Center for Electronics and Microtech. - CSEM","NE","",""
"Swiss Institute of Bioinformatics - SIB","VD","",""
"Università della Svizzera italiana - USI","TI","46.0109126","8.9581204718256"
"Universität Basel - BS","BS","47.55832","7.58403"
"Universität Bern - BE","BE","46.95096","7.43548"
"Universität Luzern - LU","LU","47.04929385","8.312340693983"
"Universität St. Gallen - SG","SG","47.4328168","9.3781632"
"Universität Zürich - ZH","ZH","47.37092","8.53434"
"Université de Fribourg - FR","FR","46.80683","7.15317"
"Université de Genève - GE","GE","46.1990632","6.13642091238"
"Université de Lausanne - LA","VD","46.52255555","6.5809323942107"
"Université de Neuchâtel - NE","NE","46.99385","6.93789"
"Weitere Institute - FINST","ZH","",""
"Weitere Spitäler - ASPIT","AG","",""
"Zürcher Fachhochschule (ohne PH) - ZFH","ZH","",""
